square_index,split,observations,wins,rounds,mean_miners,mean_rank,win_rate,lift_vs_uniform
0,confirmation,91,5,91,139.15384615384616,12.967032967032967,0.054945054945054944,1.3736263736263736
0,development,355,7,355,143.07042253521126,14.543661971830986,0.01971830985915493,0.49295774647887325
0,validation,187,6,187,139.5133689839572,13.855614973262032,0.03208556149732621,0.8021390374331552
4,confirmation,38,0,38,133.68421052631578,12.605263157894736,0.0,0.0
4,development,208,9,208,140.84134615384616,13.14423076923077,0.04326923076923077,1.0817307692307692
4,validation,183,11,183,139.224043715847,14.650273224043715,0.060109289617486336,1.5027322404371584
20,confirmation,131,7,131,139.6030534351145,14.412213740458014,0.05343511450381679,1.3358778625954197
20,development,317,10,317,142.1230283911672,16.410094637223974,0.031545741324921134,0.7886435331230284
20,validation,96,6,96,138.72916666666666,14.34375,0.0625,1.5625
24,confirmation,143,8,143,139.65734265734267,16.6993006993007,0.055944055944055944,1.3986013986013985
24,development,295,13,295,143.36949152542374,17.084745762711865,0.04406779661016949,1.1016949152542372
24,validation,117,3,117,139.67521367521368,18.435897435897434,0.02564102564102564,0.641025641025641
