candidate,split,exclusion,observations,wins,rounds,win_rate,lift_vs_uniform,round_sequence_min,round_sequence_max
q4,decile_01,none,407,15,85,0.036855036855036855,0.9213759213759214,0,84
corner_q3_q4,decile_01,none,224,9,83,0.04017857142857143,1.0044642857142858,0,84
corner_rank13_21,decile_01,none,218,9,83,0.04128440366972477,1.0321100917431194,0,84
avoid_neighbor_q5,decile_01,none,1681,67,85,0.03985722784057109,0.9964306960142771,0,84
q4,decile_02,none,441,17,85,0.03854875283446712,0.9637188208616779,85,169
corner_q3_q4,decile_02,none,232,6,85,0.02586206896551724,0.646551724137931,85,169
corner_rank13_21,decile_02,none,183,4,84,0.02185792349726776,0.5464480874316939,85,169
avoid_neighbor_q5,decile_02,none,1684,67,85,0.03978622327790974,0.9946555819477435,85,169
q4,decile_03,none,442,20,84,0.04524886877828054,1.1312217194570136,170,254
corner_q3_q4,decile_03,none,243,8,85,0.03292181069958848,0.823045267489712,170,254
corner_rank13_21,decile_03,none,190,6,84,0.031578947368421054,0.7894736842105263,170,254
avoid_neighbor_q5,decile_03,none,1682,67,85,0.03983353151010702,0.9958382877526755,170,254
q4,decile_04,none,437,12,85,0.02745995423340961,0.6864988558352402,255,339
corner_q3_q4,decile_04,none,245,9,84,0.036734693877551024,0.9183673469387755,255,339
corner_rank13_21,decile_04,none,209,7,81,0.03349282296650718,0.8373205741626795,255,339
avoid_neighbor_q5,decile_04,none,1684,67,85,0.03978622327790974,0.9946555819477435,255,339
q4,decile_05,none,423,18,85,0.0425531914893617,1.0638297872340425,340,424
corner_q3_q4,decile_05,none,157,5,83,0.03184713375796178,0.7961783439490445,340,424
corner_rank13_21,decile_05,none,127,4,80,0.031496062992125984,0.7874015748031495,340,424
avoid_neighbor_q5,decile_05,none,1691,60,85,0.03548196333530455,0.8870490833826138,340,424
q4,decile_06,none,434,18,85,0.041474654377880185,1.0368663594470047,425,509
corner_q3_q4,decile_06,none,196,12,85,0.061224489795918366,1.530612244897959,425,509
corner_rank13_21,decile_06,none,163,10,83,0.06134969325153374,1.5337423312883436,425,509
avoid_neighbor_q5,decile_06,none,1676,73,85,0.04355608591885442,1.0889021479713603,425,509
q4,decile_07,none,425,10,85,0.023529411764705882,0.5882352941176471,510,594
corner_q3_q4,decile_07,none,254,7,85,0.027559055118110236,0.6889763779527559,510,594
corner_rank13_21,decile_07,none,220,5,85,0.022727272727272728,0.5681818181818182,510,594
avoid_neighbor_q5,decile_07,none,1679,58,85,0.034544371649791544,0.8636092912447886,510,594
q4,decile_08,none,427,18,84,0.04215456674473068,1.0538641686182668,595,679
corner_q3_q4,decile_08,none,221,10,82,0.04524886877828054,1.1312217194570136,595,679
corner_rank13_21,decile_08,none,180,6,81,0.03333333333333333,0.8333333333333333,595,679
avoid_neighbor_q5,decile_08,none,1685,63,85,0.037388724035608306,0.9347181008902077,595,679
q4,decile_09,none,445,20,85,0.0449438202247191,1.1235955056179774,680,764
corner_q3_q4,decile_09,none,144,10,80,0.06944444444444445,1.7361111111111112,680,764
corner_rank13_21,decile_09,none,106,6,76,0.05660377358490566,1.4150943396226414,680,764
avoid_neighbor_q5,decile_09,none,1689,69,85,0.04085257548845471,1.0213143872113677,680,764
q4,decile_10,none,403,16,79,0.03970223325062035,0.9925558312655086,765,843
corner_q3_q4,decile_10,none,106,4,66,0.03773584905660377,0.9433962264150942,765,843
corner_rank13_21,decile_10,none,76,2,60,0.02631578947368421,0.6578947368421052,765,843
avoid_neighbor_q5,decile_10,none,1571,66,79,0.042011457670273714,1.0502864417568427,765,843
